'इन्द्रजाल'
'राम राम 🙏'
'खद्दा'
'खद्दा'
'अच्छा जी'
'खद्दा'
'राम राम'
'अच्छा ओके'
'छी छी'
'यस'
'अच्छा'
'खद्दा'
