'*day'
'Wut'
'Okay cool I added you'
'But yeah if you wanna go, lmk'
'Thanks 😅 haha'
'Hey! do you wanna get Krishna on Wednesday?'
'Lmaooo yes'
'Yes I did haha'
'Dang I&rsquo;m sad now you are so far away'
'Lmaoooo'
'I&rsquo;m soooo sorry'
'New job haha'
'Baby yoda'
'Baby yoda'
'In a good way ofc'
'Lmaoooooo'
'Haha thank you!'
'Haha thanks'
'Lmaoooo'
'Lmaoooo'
'Are you a koreaboo now?'
'*show'
'Aaaaaah que bien!'
'Wooooo'
'Aaaah que bueno!'
'Oh woooow.'
'Iguaaal. Algo aburrido'
'Esooooo'
'Aaaah ya los vi'
'Aaaaah el hoooome pod'
'Vaaaa'
'Iguaaal'
'Aaaah igual yo jaja'
'Aaah bueno eso si'
'Wooooo'
'Pesaaado'
'Aaaaaah ya ya'
'Aaaaah quien fuera tuuuu'
'Wooooo'
'Wooo'
'Aaah que cool'
'Oooooh ya ya'
'Oooooh ya'
'Algooo asi'
'Woooo'
'Aaaah que sad'
'Woooooo'
'Woooooo'
'Woooo'
'Aaaah la madre'
'Jaja aaah se oye bien'
'Aaaah con razón'
'Ooooh ya'
'Aaaaah jajaja'
'Y daaaaale'
'Hahaha'
'Aaaaah bueno'
'Cool! Igual ya casi de salida'
'Aaaaah ya'
'Uuuuy'
'Ah Siii'
'Aaah si'
'Aaaw'
'Aaaaah'
'Que barbaridad'
'Holaaa'
'Aaaah jaja'
'Aaah si ahorita voy y regreso jaja'
'Holaaaa'
'Aaww'
'Queeee'
'Exaaacto'
'Muahaha 😈'
'Aaah'
'Y frío uuuuff'
'Fresaaaa siii'
'Uuuuuuy'
'Uuuy ya casi'
'Shiii'
'Que barbara'
'Aaaaaah'
'Aaaah ya'
'Aaah ya 😄'
'Aaah ya jaja'
'Aaah ya jaja'
'Uuuff son muuuuy buenos'
'Aaaah ya jaja'
'Aaaah ya veo'
'Aaaah con razón'
'Aaaah de Toluca la bella jaja'
'Soy algo geek jaja'
'Muy mal'
'Aaaah con razón'
'Aaaah jaja'
'Si uno sudaba y sudaba jajaja'
'Aaah ya'
'Aaaah con razon'
'Ay ajaaaa'
'Oyeee'
'Masooo'
'Ay ajaaa'
