'в какой части города вы живете?'
'Привет 😁 Я приехал в Москву ненадолго, куда рекомендуешь тут сходить?'
'Если тебе нужна фотосессия, загляни в мой инстаграм @see.elegance'
'Привет! 😁 А ты живешь тут в Москве или только на время?'
'Я вообще в Ницце живу, приехал сюда писать диссертацию'
'Куда посоветуешь сходить под новый год?'
'Хммм'
'Вообще хорошо бы найти красивые места для фотосессий, я фотографом подрабатываю'
'А так разные праздничные ивенты тоже интересуют'
'Если хочешь, можем поснимать фото вместе. Я подрабатываю фотографом'
'Привет! 😁 А ты живешь тут в Москве, или только на время?'
'Привет 😁 А ты живешь тут в Москве или только на время?'
'Я в Ницце живу, сюда ненадолго приехал'
'Куда посоветуешь сходить?'
'На несколько недель'
'Я на батутах раньше не был'
'Хочешь вместе сходить?'
'Отлично, можно будет в Субботу'
'Я поищу хорошие места тут'
'Шикарно, давай в воскресенье тогда'
'Я только приехал, сейчас пойду закупаться зимней одеждой'
'Для меня холодно 😂 у нас было +17'
'Я удивился, что снега нет нигде'
'А чем ты занимаешься?'
'Хахааа, у меня то же самое'
'Я уже знаю что буду делать, поеду путешествовать месяцев на 6'
'Ага, а ты много путешествуешь?'
'Да, я тоже люблю где-то подольше остаться'
'Я только в Европе был, и еще две недели в Китае'
'Давай я тебе на мессенджер напишу? Чем ты пользуешься?'
'Привет 😁 А ты в Москве живёшь? Я в Ницце'
'Шикарно! Как там сейчас? Я вернусь через пару недель, четыре года уже там не живу'
'К родителям на новый год приеду'
'Какие планы на новый год, будешь брать отпуск?'
'Если будет свободное время, можем встретиться и поснимать фото 😁'
'Окей! Скажешь свой Инстаграм? Я тебя добавлю'
'Привет! А ты в Ницце сейчас?'
'Аа, я в декабре обратно в Москву уезжаю. А ты откуда?'
'Работаю по контракту, уже четыре года'
'Молекулярным биологом'
'И фотографией ещё занимаюсь'
'Можешь найти меня в инстаграме'
'Спасибо 😊 да, это мой стиль'
'Аа, привет 😁 я тоже, учусь тут в универе. А ты чем занимаешься?'
'Ты переехала сюда? Я из Москвы вообще'
'Как тебе вообще Франция, оправдывает ожидания? 😁'
'Даа, она шикарная! А ты в других странах тоже была?'
'А что ещё в топ3'
'Ну ничего, скоро остальная Европа тоже это испытает 😂'
'У тебя есть инстаграм? Я тебе там напишу'
'Привет 😁 есть планы на вечер?'
'Привет 😁 Ты скоро будешь в Ницце?'
'Отлично! Можем встретиться. А у тебя есть инстаграм?'
'Из Москвы, но живу здесь'
'Привет 😁 Ты тут одна или с друзьями?'
'Если хочешь, могу составить компанию'
'Где тебя встретить?'
'Отлично вообще, после работы можно сходить на пляж покупаться'
'Там скульптура голого мужика, ты видела наверное 😁'
'Я могу к тебе подойти'
'Минут через 30'
'Хорошо! Я тебе напишу, как подойду'
'Привет  😁 давай встретимся сегодня?'
'Привет! А ты собираешься в Ниццу?'
'Классно! Я тоже тут работаю, уже четыре года'
'Пиши как приедешь в следующий раз, можем встретиться'
'В декабре приеду к родственникам на новый год'
'Можешь пока добавить меня в инстаграме, там спишемся'
'Привет! 😁А ты живёшь тут в Ницце или только на время?'
'Сезонная миграция! Ты прям как перелетная птица'
'Я тут три года уже'
'Работать хорошо тут, после работы можно сходить на пляж 😁 никогда бы не подумал, что здесь окажусь'
'Если бы я ещё французский хорошо знал, было бы шикарно'
'Я из Москвы, а ты?'
'Будешь в Ницце на этих выходных? 😁'
'Привет 😁 Как тебе Ницца? Могу посоветовать весёлые места тут, если хочешь'
'Если хочешь ночью сегодня сходить, waka Bar хороший, в Wayne&apos;s Bar танцуют на столах, high club самый большой клуб здесь'
'Ого, неплохо! На маяке были? Там красивые огни ночью, и совсем нет туристов. Моё любимое место для фотосессий'
'Пиши если пойдёте, я присоединюсь 😉'
'О, привет! 😁 Не знал, что ты по-русски говоришь. Ты откуда?'
'Ого, десять лет? Мощно. Я тоже из Москвы, тут три года пока, учусь здесь на биолога'
'Ты тут на лазурном берегу живёшь или где-то ещё?'
'Здесь классно вообще! Жить тут, это как отпуск круглый год, можно в любое время сходить к морю, искупаться'
'Могу посоветовать классные места тут, если хочешь'
'А у тебя есть какой-нибудь мессенджер? Давай я тебя добавлю'
'Даа я тоже хочу сходить, но у меня днём много работы сегодня'
'Хаха, спасибо'
'Привет 🙂 А ты живешь тут в Москве, или только на время?'
'Хаха, а я улетел обратно в Ниццу уже'
'Привеет 😁 А я тут ненадолго в Москве'
'Ага, я тоже так думал, пока универ не закончил'
'Ты любишь снимать фото? Я ищу интересные места поснимать тут'
'Я всем друзьям во Франции рекомендую приезжать зимой, потому что есть неповторимая атмосфера'
