'प्राइवेट आदमी हूं'
'प्राइवेट अकाउंट रखता हु'
'ऐसा ह क्या?'
'तुम ही सेटिंग बन जाओ ना'
'टिंडर इस ए स्टूपिड एप'
'था*'
'कभी'
'मैं राजस्थान से हूं'
'कैसी हो?'
'क्या ढूंढ रही है आप इस टिंडर के मायाजाल में?'
'मुसाफिर तो सब हैं यह आप शायद हमसफर ढूंढ रही है?'
'यहां*'
'हम तो किसी ऐसे दोस्त की तलाश में है जिससे बाते करके ये गर्मिया निकाल पाए'
'मुसाफिर का मतलब traveller hota है'
'हमसफर मतलब कोई ऐसा जो आपके साथ हो किसी यात्रा में'
'दोनो का सफर एक ही हो'
'तो आप एक दो दिन का साथ ढूंढ रही है'
'सबकी अपनी अपनी प्रेफरेंसेस होती है'
'चलो अब क्या ही बात करे'
'हमारी उम्मीदें ही अलग अलग है'
'अपना ध्यान रखना'
'अलविदा'
'दिख कर छुपना, छुप कर दिखना गलत बात है।'
'ऐसा क्यों? 😂'
'मीम्स का कारोबार करती हो?'
'करोगे?'
'मीम्स का आदान प्रदान'
'तुम डैंक बालिका लगती हो'
'अच्छा यहां तो मीम्स भेज नही सकते क्युकी इमेजेस भेज नही सकते। कभी तुम इंस्टा पर आई तो करेगे मीमस का बंदर बांट'
'अभी तो बाते कर लेते है'
'कहा से हो?'
'अररे प्रॉपर बिहारी 😂'
'हम राजस्थान से है'
'अरे यूपी बिहार एक ही है'
'जी देखे हैं'
'हा पता है'
'भैया?'
'टिंडर पे भैया बुलाती हो लोगो को बहनजी अच्छी बात नहीं है'
'सोशल मीडिया अकाउंट काहे नहीं शेयर कर पाओगे?'
'कुछ तुम्हारा रूल है का?'
'अरे व्हाट्सऐप भी नहीं?'
'छोड़*'
'कॉम डाउन'
'आज तुमने कह दिया हवेली छोड़ दो'
'एक दिन आयेगा जब वो कहेगे की दुनिया ही चोद दो'
'छोड़*'
'मित्र बनते हैं'
'मित्र बनेंगी हमारी?'
'संदेश भेजें'
'सुंदर फोटू कहा लगाई तुमने?'
'तुझमें दिमाग h ki नहीं?'
'मतलब मुझसे काम सुंदर ह तू?'
'कम'
'एक चीज में तो हार माननी पड़ेगी ना'
'सुंदर?'
'अरे तू है तुझे पता नहीं ह लेकिन तू है'
'चलें मोहतरमा इंस्टा पर?'
'तारो का शहर तो मेरा दिल है'
'इतनी जल्दी नहीं ले जाता वह में'
'आओ हुज़ूर तुमको'
'शर्माएगी नहीं?'
'नहीं या हां?'
'जाट'
'छोड़'
